,variable,chi2,p,dof,reject
0,intubation_dummy,7.827737535792922,0.049709293895495076,3,True
1,death,4.370896997043902,0.2240991302131563,3,False
2,cardio_complication,1.3507091969402267,0.717128323974116,3,False
3,asthma_2.0,27.390543339274863,4.87557596399489e-06,3,True
4,chest_xray_2,18.37505115113397,0.0003680568892117228,3,True
5,chest_xray_3,22.601914924586872,4.8881669034370034e-05,3,True
6,ckd_2.0,29.598480083560972,1.6762510900215015e-06,3,True
7,copd_2.0,19.907807669711396,0.00017737583749887764,3,True
8,coronary_med_history_col_True,35.782496671292755,8.324724153356353e-08,3,True
9,diabetes_2.0,10.654735338388768,0.013747151427477846,3,True
10,dialysis_2.0,0.0,1.0,0,False
11,dialysis_3.0,33.23858221563907,2.8682469375747674e-07,3,True
12,healthcare_worker_2.0,1.5754789720926845,0.6649624897136281,3,False
13,hypercholesterolemia_2.0,17.93798598624264,0.0004529946329380362,3,True
14,hypertension_2.0,46.87645568177804,3.692405018004653e-10,3,True
15,pacemaker_1,21.99205068159418,6.548002845622654e-05,3,True
16,sex_2,1.947224962859634,0.5834322895812214,3,False
17,smoker_2.0,32.836120039620695,3.48748210339815e-07,3,True
18,troponin_uln_2.0,21.154778780539154,9.776461057689611e-05,3,True
19,vaccinated_1,172.95095655500938,2.934730126520691e-37,3,True
