            Generalized Linear Model Regression Results            
Dep. Variable:  ,cardio_complication,  No. Observations:  ,  1371  
Model:          ,GLM                ,  Df Residuals:      ,  1349  
Model Family:   ,Binomial           ,  Df Model:          ,    21  
Link Function:  ,Logit              ,  Scale:             ,  1.0000
Method:         ,IRLS               ,  Log-Likelihood:    , -265.62
Date:           ,Fri, 01 Sep 2023   ,  Deviance:          ,  531.24
Time:           ,10:10:35           ,  Pearson chi2:      ,1.43e+03
No. Iterations: ,7                  ,  Pseudo R-squ. (CS):,0.03210 
Covariance Type:,nonrobust          ,                     ,        
                ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
const           ,   -3.0872,    0.142,  -21.768, 0.000,   -3.365,   -2.809
age             ,    0.3827,    0.155,    2.467, 0.014,    0.079,    0.687
height          ,    0.0410,    0.130,    0.314, 0.753,   -0.214,    0.296
weight          ,    0.0788,    0.129,    0.609, 0.543,   -0.175,    0.332
sbp             ,    0.0077,    0.143,    0.054, 0.957,   -0.273,    0.288
dbp             ,    0.1860,    0.146,    1.278, 0.201,   -0.099,    0.471
heart_rate      ,    0.0217,    0.137,    0.158, 0.875,   -0.248,    0.291
respiratory_rate,    0.0313,    0.141,    0.223, 0.824,   -0.244,    0.307
spo2            ,    0.2993,    0.165,    1.811, 0.070,   -0.025,    0.623
fio2            ,    0.0724,    0.104,    0.696, 0.486,   -0.131,    0.276
po2             ,    0.1926,    0.081,    2.369, 0.018,    0.033,    0.352
pco2            ,    0.1134,    0.105,    1.077, 0.282,   -0.093,    0.320
lactate_arterial,    0.1767,    0.128,    1.377, 0.169,   -0.075,    0.428
crp             ,    0.1722,    0.120,    1.432, 0.152,   -0.064,    0.408
platelets       ,   -0.1047,    0.186,   -0.563, 0.573,   -0.469,    0.260
albumin         ,   -0.0137,    0.170,   -0.080, 0.936,   -0.347,    0.320
procalcitonin   ,   -0.0588,    0.203,   -0.290, 0.772,   -0.457,    0.339
ferritin        ,    0.1811,    0.090,    2.016, 0.044,    0.005,    0.357
haemoglobin     ,   -0.0074,    0.129,   -0.057, 0.954,   -0.260,    0.245
creatinine      ,    0.2029,    0.083,    2.460, 0.014,    0.041,    0.365
alt             ,   -0.0864,    0.137,   -0.631, 0.528,   -0.355,    0.182
chest_xray_2    ,    0.2109,    0.140,    1.502, 0.133,   -0.064,    0.486
