          Generalized Linear Model Regression Results           
Dep. Variable:  ,death           ,  No. Observations:  ,  1371  
Model:          ,GLM             ,  Df Residuals:      ,  1349  
Model Family:   ,Binomial        ,  Df Model:          ,    21  
Link Function:  ,Logit           ,  Scale:             ,  1.0000
Method:         ,IRLS            ,  Log-Likelihood:    , -312.03
Date:           ,Fri, 01 Sep 2023,  Deviance:          ,  624.07
Time:           ,10:10:35        ,  Pearson chi2:      ,1.22e+03
No. Iterations: ,20              ,  Pseudo R-squ. (CS):,0.2049  
Covariance Type:,nonrobust       ,                     ,        
                ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
const           ,   -3.7089,   33.828,   -0.110, 0.913,  -70.010,   62.592
age             ,    2.1901,    0.211,   10.379, 0.000,    1.777,    2.604
weight          ,   -0.1275,    0.122,   -1.044, 0.296,   -0.367,    0.112
sbp             ,   -0.0583,    0.113,   -0.515, 0.606,   -0.280,    0.164
dbp             ,    0.1579,    0.116,    1.358, 0.174,   -0.070,    0.386
respiratory_rate,    0.3476,    0.096,    3.628, 0.000,    0.160,    0.535
po2             ,    0.1689,    0.083,    2.030, 0.042,    0.006,    0.332
pco2            ,    0.0505,    0.103,    0.490, 0.624,   -0.152,    0.253
lactate_arterial,    0.1038,    0.105,    0.986, 0.324,   -0.103,    0.310
crp             ,    0.3909,    0.096,    4.060, 0.000,    0.202,    0.580
lymphocytes     ,    0.0931,    0.106,    0.876, 0.381,   -0.115,    0.301
albumin         ,    0.0286,    0.102,    0.280, 0.779,   -0.171,    0.229
ldh             ,    0.1024,    0.104,    0.985, 0.325,   -0.101,    0.306
lactate_venous  ,   -0.0672,    0.379,   -0.177, 0.859,   -0.811,    0.677
hypertension_2.0,   -0.0200,    0.119,   -0.169, 0.866,   -0.253,    0.213
diabetes_2.0    ,   -0.0543,    0.101,   -0.540, 0.589,   -0.252,    0.143
copd_2.0        ,    0.0166,    0.103,    0.161, 0.872,   -0.186,    0.219
ckd_2.0         ,   -0.2919,    0.098,   -2.972, 0.003,   -0.484,   -0.099
dialysis_2.0    ,   -0.8033,  722.347,   -0.001, 0.999,-1416.577, 1414.970
dialysis_3.0    ,    0.0927,    0.165,    0.562, 0.574,   -0.231,    0.416
chest_xray_3    ,   -0.0256,    0.112,   -0.228, 0.820,   -0.246,    0.195
vaccinated_1    ,   -0.3988,    0.113,   -3.534, 0.000,   -0.620,   -0.178
