,model,test_accuracy,outcome,fit_time,score_time,test_precision,test_recall,test_f1,test_roc_auc
0,baseline_median_impute,0.9117372262773722,intubation_dummy,0.0830164909362793,0.0188033580780029,0.59004329004329,0.1583333333333333,0.240184331797235,0.7638055776892431
1,baseline_median_impute,0.894948905109489,death,0.0235051155090332,0.0146027088165283,0.5206837606837607,0.2622988505747127,0.3459586924703203,0.8597991255292394
2,baseline_median_impute,0.9452952886529528,cardio_complication,0.0250049114227294,0.0189040184020996,0.2,0.0266666666666666,0.0470588235294117,0.5828496188496188
3,logistic_feature_selection_median,0.9117372262773722,intubation_dummy,0.0282051563262939,0.0130025386810302,0.59004329004329,0.1583333333333333,0.240184331797235,0.7638055776892431
4,logistic_feature_selection_median,0.894948905109489,death,0.02090425491333,0.01280198097229,0.5206837606837607,0.2622988505747127,0.3459586924703203,0.8597991255292394
5,logistic_feature_selection_median,0.9452952886529528,cardio_complication,0.0240048885345459,0.0134021282196044,0.2,0.0266666666666666,0.0470588235294117,0.5828496188496188
6,logistic_feature_selection_median_oversample,0.7257332448573325,intubation_dummy,0.4877926826477051,0.0139022350311279,0.1786473186827923,0.5916666666666667,0.2737423832707317,0.7220788844621514
7,logistic_feature_selection_median_oversample,0.7789966821499668,death,0.5325016021728516,0.0143028259277343,0.2916786701545876,0.7227586206896552,0.4150472630541162,0.832691047249878
8,logistic_feature_selection_median_oversample,0.6783490378234903,cardio_complication,0.5936122417449952,0.0130031108856201,0.0751883326678874,0.4314285714285714,0.1278331076938797,0.5738012078012078
9,l2_feature_selection_median_impute_oversample,0.7257332448573325,intubation_dummy,0.4407814502716064,0.0131026744842529,0.1786473186827923,0.5916666666666667,0.2737423832707317,0.7220788844621514
10,l2_feature_selection_median_impute_oversample,0.7789993364299934,death,0.479288387298584,0.0124023914337158,0.2931942453681584,0.7296551724137931,0.4176698946983048,0.8389602719550229
11,l2_feature_selection_median_impute_oversample,0.6863729263437293,cardio_complication,0.5942099571228028,0.0143029689788818,0.0744830800236012,0.419047619047619,0.1263032333308519,0.5777142857142856
12,l2_feature_selection_median_impute,0.7242760451227604,intubation_dummy,0.4589848518371582,0.0156033039093017,0.1755804362383655,0.5833333333333334,0.269416718167333,0.7238795484727756
13,l2_feature_selection_median_impute,0.7797372262773723,death,0.3962732315063476,0.015803050994873,0.2997778023029099,0.7498850574712643,0.4270079854709293,0.8434574551131927
14,l2_feature_selection_median_impute,0.6622959522229594,cardio_complication,0.3847719192504882,0.0146023273468017,0.0753890629333891,0.4714285714285714,0.1297723818115712,0.5607237897237897
15,l1_feature_selection_median_impute_oversample,0.7279150630391505,intubation_dummy,2.20080041885376,0.0147025108337402,0.1799402546455132,0.5916666666666667,0.2753636451713804,0.7234689243027888
16,l1_feature_selection_median_impute_oversample,0.7782694094226941,death,0.7417352676391602,0.0138020992279052,0.292577998869559,0.7296551724137931,0.4169986513725992,0.8395569425056625
17,l1_feature_selection_median_impute_oversample,0.6871028533510286,cardio_complication,0.8280508041381835,0.0161030292510986,0.0726334947788753,0.4047619047619047,0.1229671692770771,0.5774226314226315
18,l1_feature_selection_median_impute,0.9124671532846717,intubation_dummy,0.4913883209228515,0.0157029151916503,0.6226190476190476,0.1416666666666666,0.223636712749616,0.7696993359893758
19,l1_feature_selection_median_impute,0.8971413404114135,death,0.1948352813720703,0.0146026134490966,0.5538150738150739,0.2627586206896551,0.3549483204134366,0.8700834131278288
20,l1_feature_selection_median_impute,0.9445653616456536,cardio_complication,0.3585648059844971,0.0154025077819824,0.2,0.0133333333333333,0.025,0.5979669339669339
21,elasticnet_feature_selection_median_impute,0.9139243530192436,intubation_dummy,0.4334754467010498,0.0178031921386718,0.6904761904761905,0.1416666666666666,0.2272401433691756,0.7712965471447543
22,elasticnet_feature_selection_median_impute,0.8978686131386862,death,0.1588274478912353,0.0123020648956298,0.5726984126984126,0.2220689655172413,0.3174358974358974,0.8740275915906215
23,elasticnet_feature_selection_median_impute,0.9445653616456536,cardio_complication,0.1736301898956299,0.0149025440216064,0.0,0.0,0.0,0.6086353826353826
24,decision_feature_selection_median_impute,0.912469807564698,intubation_dummy,0.3839724063873291,0.011001968383789,0.5033333333333333,0.1583333333333333,0.2392441492726122,0.7371571049136787
25,decision_feature_selection_median_impute,0.894234903782349,death,0.153693675994873,0.0112372875213623,0.5242156862745098,0.2218390804597701,0.3002935257188118,0.8242419311421573
26,decision_feature_selection_median_impute,0.9409183808891838,cardio_complication,0.2706510066986084,0.010502004623413,0.04,0.0133333333333333,0.02,0.5464919314919315
27,decision_feature_selection_median_impute_oversample,0.6943331121433312,intubation_dummy,2.234215784072876,0.0137026309967041,0.1691609392754561,0.6250000000000001,0.2650285152375048,0.7063353253652058
28,decision_feature_selection_median_impute_oversample,0.7607564698075647,death,0.5184968471527099,0.0134024143218994,0.2632268432779726,0.6616091954022988,0.3730821230917803,0.7922663578715828
29,decision_feature_selection_median_impute_oversample,0.7264658261446583,cardio_complication,0.8235535621643066,0.0138027191162109,0.0863639390005114,0.419047619047619,0.1426413198356361,0.5913853578853578
30,rf_selection_median_impute_final_oversample,0.8067047113470471,intubation_dummy,2.4207506656646727,0.0178037643432617,0.1971122400596084,0.4083333333333334,0.2643760501683999,0.7361253652058434
31,rf_selection_median_impute_final_oversample,0.8380942269409422,death,0.5679056167602539,0.0164032459259033,0.3423484848484848,0.5071264367816092,0.4070220998098236,0.8252946820333559
32,rf_selection_median_impute_final_oversample,0.7928440610484405,cardio_complication,0.9156704902648926,0.0181033611297607,0.0776852739037259,0.258095238095238,0.1186202772217013,0.5992373032373033
33,rf_selection_median_impute_final_oversample,0.7833629727936297,intubation_dummy,2.0982903480529784,0.0146034717559814,0.2028988808984,0.5083333333333333,0.28957852224183,0.7497794156706508
34,rf_selection_median_impute_final_oversample,0.8380942269409422,death,0.5469011306762696,0.0175035953521728,0.3423484848484848,0.5071264367816092,0.4070220998098236,0.8252946820333559
35,rf_selection_median_impute_final_oversample,0.7928440610484405,cardio_complication,0.8902655124664307,0.0163032054901123,0.0776852739037259,0.258095238095238,0.1186202772217013,0.5992373032373033
36,rf_selection_median_impute_final,0.9153895155938953,intubation_dummy,0.4770884990692138,0.0157028198242187,0.65,0.075,0.1248571428571428,0.786535657370518
37,rf_selection_median_impute_final,0.8986171201061712,death,0.2001370429992675,0.0152024269104003,0.738095238095238,0.1080459770114942,0.1823994082058598,0.8584361413304723
38,rf_selection_median_impute_final,0.9460252156602522,cardio_complication,0.3605669498443603,0.0164028167724609,0.0,0.0,0.0,0.6547319572319573
39,svm_median_impute_feature_select,0.9124724618447246,intubation_dummy,0.4458103656768798,0.0378098011016845,0.0,0.0,0.0,0.7486240371845948
40,svm_median_impute_feature_select,0.8920504313205043,death,0.1880465507507324,0.0371096611022949,0.0,0.0,0.0,0.8264856773687427
41,svm_median_impute_feature_select,0.936538818845388,cardio_complication,0.3309814453125,0.0225065231323242,0.0666666666666666,0.0133333333333333,0.0222222222222222,0.5731823581823582
42,svm_median_impute_feature_select_oversample,0.5369024552090245,intubation_dummy,1.8326367378234865,0.0373069286346435,0.136527120261913,0.7916666666666667,0.2324635372825866,0.7385642762284197
43,svm_median_impute_feature_select_oversample,0.823477106834771,death,0.4958911895751953,0.0701128482818603,0.2919396917597183,0.4452873563218391,0.3511422450616318,0.7973090565791042
44,svm_median_impute_feature_select_oversample,0.7818951559389514,cardio_complication,0.7848443508148193,0.0864160060882568,0.0630342563039769,0.2171428571428571,0.0971412479382065,0.5607776457776458
45,adaboost_median_impute_feature_oversample,0.8008759124087591,intubation_dummy,1.804426908493042,0.0138025760650634,0.2025915358730742,0.4416666666666666,0.2773253911275293,0.7793041832669323
46,adaboost_median_impute_feature_oversample,0.8155009953550099,death,0.5456989765167236,0.0168028354644775,0.3052930957840064,0.5197701149425287,0.3798179621873537,0.8210147398699446
47,adaboost_median_impute_feature_oversample,0.8220331785003319,cardio_complication,0.7574369430541992,0.015602970123291,0.111131037780966,0.339047619047619,0.1668625464370145,0.6518933768933769
48,adaboost_median_impute_feature,0.9102906436629064,intubation_dummy,0.3729646205902099,0.0111020565032958,0.5304029304029305,0.1916666666666666,0.2637707316824464,0.7750848605577689
49,adaboost_median_impute_feature,0.8949727936297279,death,0.1751301288604736,0.0138029098510742,0.5180331262939959,0.3914942528735632,0.4455706441905903,0.8517192252819725
50,adaboost_median_impute_feature,0.9438354346383544,cardio_complication,0.2886500358581543,0.01330246925354,0.0666666666666666,0.0133333333333333,0.0222222222222222,0.6075680130680131
51,gradboost_median_impute_feature_oversample,0.8935023224950231,intubation_dummy,4.433203554153442,0.0182050704956054,0.3668763972600289,0.1999999999999999,0.25423432930866,0.805709561752988
52,gradboost_median_impute_feature_oversample,0.883291307232913,death,2.887018871307373,0.0178042411804199,0.4512820512820513,0.3579310344827586,0.3977098507006174,0.8575761739404637
53,gradboost_median_impute_feature_oversample,0.9336270736562706,cardio_complication,3.45316014289856,0.0183047294616699,0.1333333333333333,0.04,0.0603174603174603,0.6512019602019601
54,gradboost_median_impute_feature,0.9161141340411414,intubation_dummy,0.6045279026031494,0.0176027297973632,0.65,0.1083333333333333,0.1835978835978836,0.7851367861885791
55,gradboost_median_impute_feature,0.9022614465826144,death,1.1918507099151612,0.0156035423278808,0.79,0.1285057471264367,0.2209014514896868,0.8625974473452468
56,gradboost_median_impute_feature,0.9467551426675512,cardio_complication,1.992165470123291,0.0192041873931884,0.2,0.0133333333333333,0.025,0.5900513810513811
57,elasticnet_feature_selection_median_impute_oversample,0.6819986728599867,intubation_dummy,0.24125447273254394,0.009802627563476562,0.18064087213023386,0.7416666666666666,0.29037470324318504,0.7777337317397078
58,elasticnet_feature_selection_median_impute_oversample,0.7425242203052422,intubation_dummy,0.2709111213684082,0.010103130340576172,0.20275505566685464,0.6583333333333333,0.30982866597057984,0.7704244355909694
59,elasticnet_feature_selection_median_impute_oversample,0.7680637027206371,death,0.258038854598999,0.009811162948608398,0.2819995092261666,0.7227586206896552,0.40454871003293597,0.8332345150609706
60,elasticnet_feature_selection_median_impute_oversample,0.7702481751824818,cardio_complication,0.5403711318969726,0.010003185272216797,0.07380827161373024,0.28380952380952384,0.11659906637732664,0.5817738837738838
